"Time (s) Run #1","Velocity, Blue (m/s) Run #1","Velocity, Red (m/s) Run #1","Time (s) Run #2","Velocity, Blue (m/s) Run #2","Velocity, Red (m/s) Run #2","Time (s) Run #3","Velocity, Blue (m/s) Run #3","Velocity, Red (m/s) Run #3","Time (s) Run #4","Velocity, Blue (m/s) Run #4","Velocity, Red (m/s) Run #4","Time (s) Run #5","Velocity, Blue (m/s) Run #5","Velocity, Red (m/s) Run #5","Time (s) Run #6","Velocity, Blue (m/s) Run #6","Velocity, Red (m/s) Run #6"
3.350,0.515,-0.329,,,,,,,3.350,0.598,-0.376,3.350,0.516,-0.286,3.350,0.535,-0.428
3.400,0.514,-0.329,,,,,,,3.400,0.520,-0.375,3.400,0.515,-0.287,3.400,0.535,-0.428
3.450,0.513,-0.328,,,,,,,3.450,0.352,-0.375,3.450,0.515,-0.288,3.450,0.535,-0.429
3.500,0.513,-0.329,,,,,,,3.500,0.158,-0.376,3.500,0.516,-0.289,3.500,0.535,-0.430
3.550,0.512,-0.329,,,,,,,3.550,0.023,-0.377,3.550,0.516,-0.288,3.550,0.534,-0.430
3.600,0.511,-0.330,,,,,,,3.600,-0.032,-0.378,3.600,0.516,-0.288,3.600,0.534,-0.429
3.650,0.510,-0.329,,,,,,,3.650,-0.057,-0.377,3.650,0.516,-0.288,3.650,0.534,-0.430
3.700,0.510,-0.329,,,,,,,3.700,-0.086,-0.376,3.700,0.516,-0.289,3.700,0.534,-0.431
3.750,0.508,-0.328,,,,,,,,,,3.750,0.515,-0.291,3.750,0.532,-0.431
3.800,0.506,-0.329,,,,,,,,,,3.800,0.514,-0.292,3.800,0.533,-0.430
3.850,0.506,-0.329,,,,,,,,,,3.850,0.515,-0.293,3.850,0.533,-0.430
3.900,0.506,-0.330,,,,,,,,,,3.900,0.514,-0.293,3.900,0.532,-0.432
,,,,,,,,,,,,3.950,0.513,-0.293,3.950,0.531,-0.433
