"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Force (N) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Force (N) Run #2"
5.500,0.65,0.13,-0.01,-1.9,5.500,0.63,0.14,-0.03,-1.8
5.550,0.65,0.13,-0.03,-1.7,5.550,0.64,0.14,-0.02,-1.8
5.600,0.66,0.13,-0.05,-1.5,5.600,0.64,0.14,-8.68E-4,-1.8
5.650,0.67,0.12,-0.05,-1.5,5.650,0.65,0.14,0.02,-1.8
5.700,0.67,0.12,-0.03,-1.5,5.700,0.66,0.14,0.04,-1.8
5.750,0.68,0.12,-0.02,-1.4,5.750,0.67,0.15,0.06,-1.6
5.800,0.69,0.12,-9.32E-4,-1.5,5.800,0.67,0.15,0.05,-1.7
5.850,0.69,0.12,0.02,-1.5,5.850,0.68,0.15,0.03,-1.6
5.900,0.70,0.12,0.06,-1.5,5.900,0.69,0.15,0.01,-1.5
5.950,0.70,0.13,0.11,-1.5,5.950,0.70,0.15,0.03,-1.5
6.000,0.71,0.13,0.13,-1.5,6.000,0.70,0.16,0.08,-1.6
6.050,0.72,0.14,0.09,-1.4,6.050,0.71,0.16,0.15,-1.5
6.100,0.72,0.14,0.01,-1.4,6.100,0.72,0.17,0.15,-1.4
6.150,0.73,0.14,-0.05,-1.3,6.150,0.73,0.18,0.03,-1.3
6.200,0.74,0.14,-0.07,-1.5,6.200,0.74,0.18,-0.13,-1.3
6.250,0.75,0.13,-0.07,-1.5,6.250,0.75,0.16,-0.23,-1.3
6.300,0.75,0.13,-0.09,-1.5,6.300,0.75,0.15,-0.22,-1.2
6.350,0.76,0.13,-0.11,-1.5,6.350,0.76,0.14,-0.15,-1.1
6.400,0.76,0.12,-0.07,-1.4,6.400,0.77,0.14,-0.09,-1.1
6.450,0.77,0.11,0.07,-1.4,6.450,0.78,0.13,-0.11,-1.0
6.500,0.78,0.12,0.20,-1.3,6.500,0.78,0.13,-0.19,-1.0
6.550,0.78,0.14,0.19,-1.3,6.550,0.79,0.12,-0.26,-1.0
6.600,0.79,0.15,0.04,-1.2,6.600,0.79,0.10,-0.25,-1.0
6.650,0.80,0.15,-0.15,-1.2,6.650,0.80,0.09,-0.16,-1.0
6.700,0.81,0.13,-0.23,-1.2,6.700,0.80,0.08,-0.06,-1.0
6.750,0.81,0.12,-0.16,-1.3,6.750,0.81,0.08,-0.01,-1.0
6.800,0.82,0.11,0.01,-1.3,6.800,0.81,0.08,-4.59E-4,-1.0
6.850,0.82,0.12,0.12,-1.3,6.850,0.81,0.08,0.01,-1.0
6.900,0.83,0.13,0.08,-1.4,6.900,0.82,0.08,0.02,-1.0
6.950,0.84,0.13,0.25,-1.5,6.950,0.82,0.09,0.02,-1.0
7.000,0.84,0.12,-5.12,-1.5,7.000,0.83,0.09,-0.01,-1.0
7.050,0.85,0.20,-16.60,-1.5,7.050,0.83,0.08,-0.04,-0.9
7.100,0.85,-1.47,-23.38,-1.4,7.100,0.84,0.08,-0.03,-1.0
7.150,0.89,-3.25,-13.58,-1.3,7.150,0.84,0.08,0.01,-0.9
7.200,0.36,-3.44,15.33,-1.3,7.200,0.84,0.08,0.05,-0.9
7.250,0.36,-1.91,34.49,-1.2,7.250,0.85,0.09,,-1.0
7.300,0.34,1.78,24.04,-1.2,7.300,0.85,0.09,,-0.9
7.350,0.33,1.88,0.70,-1.1,7.350,0.86,,,-0.6
7.400,0.93,-0.01,-11.82,-1.1,7.400,,,,-0.4
7.450,0.34,0.09,-6.60,-1.2,,,,,
7.500,0.33,0.02,-8.05,-1.1,,,,,
7.550,0.96,-0.13,-14.92,-1.0,,,,,
7.600,0.32,-2.20,-6.81,-0.8,,,,,
7.650,0.31,-2.16,8.16,-0.7,,,,,
7.700,0.31,0.01,15.09,-0.8,,,,,
7.750,0.32,0.11,32.43,-0.8,,,,,
7.800,0.32,0.06,56.87,-0.9,,,,,
7.850,0.34,7.52,46.12,-0.8,,,,,
7.900,0.31,9.66,-20.75,-0.8,,,,,
7.950,2.58,4.34,-91.84,-0.7,,,,,
8.000,0.97,-2.99,-85.81,-0.8,,,,,
8.050,0.97,-7.39,-34.10,-0.6,,,,,
8.100,1.02,-4.36,11.82,-0.2,,,,,
8.150,0.32,-4.52,31.73,-0.1,,,,,
8.200,0.32,-2.31,30.06,-0.1,,,,,
8.250,0.32,0.08,30.36,0.0,,,,,
8.300,0.33,0.06,29.46,-7.1E-15,,,,,
8.350,0.34,2.22,36.40,-7.1E-15,,,,,
8.400,0.32,4.39,,0.0,,,,,
8.450,0.99,6.67,,0.0,,,,,
8.500,0.99,,,0.0,,,,,
8.550,,,,-7.1E-15,,,,,
8.600,,,,0.0,,,,,
